year,bundesland,diebstahl_insgesamt,kfz_diebstahl,wohnungseinbruch
2014,Baden-Württemberg,30.4,51.4,14.0
2014,Bayern,35.3,62.6,15.1
2014,Berlin,19.3,11.9,6.6
2014,Brandenburg,26.7,30.3,20.7
2014,Bremen,21.5,16.0,7.8
2014,Hamburg,19.0,10.2,8.3
2014,Hessen,29.5,34.0,20.6
2014,Mecklenburg-Vorpommern,31.9,32.9,25.8
2014,Niedersachsen,32.5,31.7,24.6
2014,Nordrhein-Westfalen,23.9,22.5,15.4
2014,Rheinland-Pfalz,29.4,44.7,13.9
2014,Saarland,27.1,35.5,14.0
2014,Sachsen,29.9,26.2,22.5
2014,Sachsen-Anhalt,30.2,33.1,28.7
2014,Schleswig-Holstein,24.0,27.7,12.6
2014,Thüringen,37.5,37.4,35.1
2015,Baden-Württemberg,31.3,51.6,17.3
2015,Bayern,35.8,58.5,15.9
2015,Berlin,18.9,13.7,8.5
2015,Brandenburg,26.7,27.6,16.7
2015,Bremen,23.1,15.2,6.2
2015,Hamburg,19.8,10.3,8.7
2015,Hessen,29.8,36.3,21.6
2015,Mecklenburg-Vorpommern,31.7,35.3,31.8
2015,Niedersachsen,32.6,29.4,22.2
2015,Nordrhein-Westfalen,23.7,21.4,13.8
2015,Rheinland-Pfalz,30.5,49.8,15.3
2015,Saarland,28.9,38.8,13.2
2015,Sachsen,29.7,29.0,20.7
2015,Sachsen-Anhalt,28.2,32.9,21.9
2015,Schleswig-Holstein,24.6,27.9,8.9
2015,Thüringen,38.1,40.3,25.7
2016,Baden-Württemberg,31.5,48.9,19.2
2016,Bayern,35.3,57.5,18.9
2016,Berlin,19.0,10.4,7.8
2016,Brandenburg,26.0,19.6,19.7
2016,Bremen,24.3,13.4,9.3
2016,Hamburg,20.2,9.2,11.9
2016,Hessen,30.3,35.6,21.1
2016,Mecklenburg-Vorpommern,30.8,23.6,35.3
2016,Niedersachsen,32.8,32.5,21.4
2016,Nordrhein-Westfalen,24.5,22.9,16.1
2016,Rheinland-Pfalz,30.3,47.2,15.9
2016,Saarland,31.2,50.3,16.6
2016,Sachsen,28.9,26.4,19.7
2016,Sachsen-Anhalt,27.2,32.4,25.1
2016,Schleswig-Holstein,26.2,21.7,11.2
2016,Thüringen,37.8,34.9,29.2
2017,Baden-Württemberg,32.7,58.0,21.7
2017,Bayern,36.9,57.9,21.2
2017,Berlin,20.6,11.3,9.4
2017,Brandenburg,27.2,20.2,22.4
2017,Bremen,24.2,15.0,6.9
2017,Hamburg,20.7,10.6,11.8
2017,Hessen,33.1,42.0,20.9
2017,Mecklenburg-Vorpommern,31.4,32.0,27.4
2017,Niedersachsen,33.6,34.1,23.6
2017,Nordrhein-Westfalen,25.4,22.8,16.7
2017,Rheinland-Pfalz,31.7,47.8,12.4
2017,Saarland,29.6,52.2,27.0
2017,Sachsen,30.0,26.4,21.2
2017,Sachsen-Anhalt,28.4,29.1,22.6
2017,Schleswig-Holstein,28.1,24.2,12.2
2017,Thüringen,36.9,42.4,24.9
2018,Baden-Württemberg,34.3,53.6,20.7
2018,Bayern,38.0,61.3,20.6
2018,Berlin,21.9,13.0,8.9
2018,Brandenburg,26.4,18.4,18.9
2018,Bremen,23.9,18.7,7.2
2018,Hamburg,21.1,10.8,8.5
2018,Hessen,32.9,45.3,19.2
2018,Mecklenburg-Vorpommern,31.6,29.1,26.6
2018,Niedersachsen,34.5,35.9,24.9
2018,Nordrhein-Westfalen,26.2,24.0,17.9
2018,Rheinland-Pfalz,32.5,53.3,14.3
2018,Saarland,33.7,46.1,26.7
2018,Sachsen,29.6,30.3,22.4
2018,Sachsen-Anhalt,28.6,31.6,21.2
2018,Schleswig-Holstein,29.1,27.1,12.6
2018,Thüringen,38.2,41.8,26.5
2019,Baden-Württemberg,33.2,55.0,20.5
2019,Bayern,38.0,64.2,21.8
2019,Berlin,22.3,10.9,11.7
2019,Brandenburg,26.0,17.4,16.7
2019,Bremen,24.2,21.9,6.6
2019,Hamburg,22.0,10.0,7.8
2019,Hessen,33.4,39.9,17.8
2019,Mecklenburg-Vorpommern,32.9,36.8,27.2
2019,Niedersachsen,34.7,35.6,24.0
2019,Nordrhein-Westfalen,26.1,25.5,15.5
2019,Rheinland-Pfalz,33.5,55.2,23.1
2019,Saarland,29.6,42.2,15.1
2019,Sachsen,28.7,36.7,25.8
2019,Sachsen-Anhalt,28.4,32.6,22.9
2019,Schleswig-Holstein,29.6,30.7,13.7
2019,Thüringen,35.7,44.1,29.4
2020,Baden-Württemberg,36.5,58.3,24.1
2020,Bayern,40.7,73.3,21.3
2020,Berlin,23.2,12.8,12.6
2020,Brandenburg,27.0,24.7,19.9
2020,Bremen,26.3,18.1,8.8
2020,Hamburg,22.2,9.6,6.7
2020,Hessen,34.7,48.6,19.0
2020,Mecklenburg-Vorpommern,33.6,40.1,30.4
2020,Niedersachsen,35.4,41.0,24.6
2020,Nordrhein-Westfalen,26.0,28.4,14.3
2020,Rheinland-Pfalz,34.0,59.1,23.9
2020,Saarland,30.8,46.0,14.2
2020,Sachsen,31.7,46.3,26.0
2020,Sachsen-Anhalt,27.2,37.5,23.3
2020,Schleswig-Holstein,30.0,31.5,14.5
2020,Thüringen,36.6,54.0,27.9
2021,Baden-Württemberg,36.0,58.4,24.6
2021,Bayern,41.2,70.5,29.7
2021,Berlin,21.7,11.9,9.6
2021,Brandenburg,24.6,20.6,17.6
2021,Bremen,23.8,25.8,7.0
2021,Hamburg,21.4,10.8,8.2
2021,Hessen,33.4,46.1,21.0
2021,Mecklenburg-Vorpommern,32.0,44.2,33.9
2021,Niedersachsen,34.7,38.5,27.8
2021,Nordrhein-Westfalen,25.9,26.4,17.2
2021,Rheinland-Pfalz,32.9,50.3,20.2
2021,Saarland,29.9,44.0,16.3
2021,Sachsen,31.4,38.0,30.9
2021,Sachsen-Anhalt,27.4,37.0,26.4
2021,Schleswig-Holstein,28.7,27.0,17.1
2021,Thüringen,35.9,54.8,27.0
2022,Baden-Württemberg,35.0,56.2,17.5
2022,Bayern,40.7,68.2,21.1
2022,Berlin,21.7,11.0,8.6
2022,Brandenburg,25.7,16.7,14.6
2022,Bremen,23.8,23.3,7.6
2022,Hamburg,22.5,8.6,8.9
2022,Hessen,32.9,47.1,16.9
2022,Mecklenburg-Vorpommern,34.1,37.9,27.1
2022,Niedersachsen,34.8,40.4,24.1
2022,Nordrhein-Westfalen,26.8,27.6,14.4
2022,Rheinland-Pfalz,33.4,50.2,15.2
2022,Saarland,30.6,49.0,16.7
2022,Sachsen,31.7,52.3,29.1
2022,Sachsen-Anhalt,29.6,32.0,19.9
2022,Schleswig-Holstein,29.7,32.3,15.0
2022,Thüringen,38.5,55.8,26.6
2023,Baden-Württemberg,37.8,49.7,15.9
2023,Bayern,42.6,64.7,25.8
2023,Berlin,22.7,10.6,8.5
2023,Brandenburg,26.9,20.2,11.4
2023,Bremen,27.1,14.7,6.5
2023,Hamburg,26.5,10.2,7.9
2023,Hessen,34.2,36.2,16.1
2023,Mecklenburg-Vorpommern,35.6,46.8,23.9
2023,Niedersachsen,36.4,37.0,19.8
2023,Nordrhein-Westfalen,28.9,25.9,13.4
2023,Rheinland-Pfalz,35.7,50.4,16.0
2023,Saarland,34.1,46.9,13.6
2023,Sachsen,33.6,36.6,23.7
2023,Sachsen-Anhalt,30.4,30.5,21.7
2023,Schleswig-Holstein,32.4,28.3,15.9
2023,Thüringen,37.9,56.8,22.3
2024,Baden-Württemberg,37.8,49.7,19.0
2024,Bayern,42.1,62.4,22.0
2024,Berlin,21.4,14.2,10.0
2024,Brandenburg,26.4,20.7,17.7
2024,Bremen,29.2,17.8,7.9
2024,Hamburg,25.3,8.7,9.0
2024,Hessen,33.5,35.8,14.0
2024,Mecklenburg-Vorpommern,35.2,37.6,26.8
2024,Niedersachsen,35.9,38.8,19.8
2024,Nordrhein-Westfalen,28.3,29.1,13.5
2024,Rheinland-Pfalz,34.7,49.8,14.7
2024,Saarland,33.5,36.7,15.6
2024,Sachsen,35.0,38.8,27.5
2024,Sachsen-Anhalt,29.1,32.6,16.3
2024,Schleswig-Holstein,33.1,29.0,14.7
2024,Thüringen,39.0,47.1,28.0
