year,bundesland,diebstahl_insgesamt,kfz_diebstahl,wohnungseinbruch
2014,Baden-Württemberg,217220.0,1666.0,13483.0
2014,Bayern,194099.0,2113.0,8210.0
2014,Berlin,242899.0,6664.0,12159.0
2014,Brandenburg,84722.0,3028.0,3991.0
2014,Bremen,40005.0,376.0,3555.0
2014,Hamburg,120950.0,2035.0,7490.0
2014,Hessen,150275.0,1489.0,10978.0
2014,Mecklenburg-Vorpommern,42435.0,812.0,1530.0
2014,Niedersachsen,208973.0,2763.0,14654.0
2014,Nordrhein-Westfalen,667315.0,7338.0,52794.0
2014,Rheinland-Pfalz,84650.0,1043.0,5819.0
2014,Saarland,28420.0,290.0,2485.0
2014,Sachsen,144751.0,3448.0,3869.0
2014,Sachsen-Anhalt,81069.0,1545.0,2598.0
2014,Schleswig-Holstein,88232.0,1120.0,7529.0
2014,Thüringen,44045.0,658.0,979.0
2015,Baden-Württemberg,222096.0,1513.0,12255.0
2015,Bayern,185250.0,1868.0,7480.0
2015,Berlin,267124.0,6692.0,11815.0
2015,Brandenburg,79368.0,2573.0,4436.0
2015,Bremen,43092.0,361.0,3544.0
2015,Hamburg,123798.0,2295.0,9006.0
2015,Hessen,151995.0,1483.0,11595.0
2015,Mecklenburg-Vorpommern,41188.0,711.0,1521.0
2015,Niedersachsen,214060.0,3165.0,16575.0
2015,Nordrhein-Westfalen,691801.0,8219.0,62362.0
2015,Rheinland-Pfalz,85246.0,1014.0,7125.0
2015,Saarland,25680.0,289.0,2437.0
2015,Sachsen,136541.0,3087.0,4257.0
2015,Sachsen-Anhalt,84912.0,1600.0,2795.0
2015,Schleswig-Holstein,87222.0,1007.0,8456.0
2015,Thüringen,44321.0,630.0,1477.0
2016,Baden-Württemberg,213022.0,1584.0,11095.0
2016,Bayern,180260.0,2012.0,7470.0
2016,Berlin,270880.0,7349.0,11507.0
2016,Brandenburg,75556.0,2861.0,4180.0
2016,Bremen,44098.0,403.0,3082.0
2016,Hamburg,117234.0,2333.0,7510.0
2016,Hessen,141410.0,1402.0,10405.0
2016,Mecklenburg-Vorpommern,39393.0,746.0,1477.0
2016,Niedersachsen,206053.0,2949.0,16405.0
2016,Nordrhein-Westfalen,636007.0,7518.0,52578.0
2016,Rheinland-Pfalz,78852.0,922.0,6744.0
2016,Saarland,24776.0,294.0,1947.0
2016,Sachsen,137922.0,2886.0,4684.0
2016,Sachsen-Anhalt,79599.0,1366.0,3061.0
